ssn,age,education,marital-status,relationship,sex,income
447-44-7447,22.0,,Never-married,Own-child,Male,<=50K
291-29-1291,24.0,Bachelors,Never-married,,Female,
325-32-5325,,HS-grad,,,Male,
091-09-1091,19.0,9th,Never-married,Own-child,Female,
547-54-7547,39.0,,Married-civ-spouse,Husband,,<=50K
896-89-6896,42.0,,Married-civ-spouse,Husband,Male,
888-88-8888,26.0,,Never-married,Not-in-family,Male,
070-07-0070,38.0,Assoc-acdm,Divorced,Not-in-family,Female,<=50K
058-05-8058,27.0,Bachelors,Never-married,Not-in-family,,<=50K
278-27-8278,17.0,,Never-married,Own-child,Female,
506-50-6506,37.0,HS-grad,Married-civ-spouse,Husband,,<=50K
367-36-7367,35.0,,Married-civ-spouse,,,
247-24-7247,43.0,Bachelors,Married-civ-spouse,,Male,
562-56-2562,29.0,Bachelors,Married-civ-spouse,Husband,Male,
680-68-0680,24.0,Bachelors,Never-married,Own-child,Female,
842-84-2842,36.0,,Married-civ-spouse,,Male,<=50K
031-03-1031,23.0,Some-college,,Own-child,Male,
705-70-5705,29.0,HS-grad,Divorced,,Female,<=50K
927-92-7927,35.0,,Married-civ-spouse,,Male,
948-94-8948,27.0,10th,Married-civ-spouse,Husband,Male,
537-53-7537,22.0,,Never-married,,Female,<=50K
713-71-3713,25.0,Some-college,Married-civ-spouse,Husband,Male,
696-69-6696,73.0,Some-college,Married-civ-spouse,,,
440-44-0440,30.0,,Married-civ-spouse,,,<=50K
712-71-2712,39.0,,Married-civ-spouse,Husband,Male,
599-59-9599,43.0,,Married-civ-spouse,Husband,Male,>50K
473-47-3473,26.0,HS-grad,Never-married,Own-child,Female,
516-51-6516,56.0,10th,Married-civ-spouse,Husband,,<=50K
385-38-5385,45.0,Some-college,Married-civ-spouse,Husband,,
274-27-4274,,Some-college,Married-civ-spouse,Husband,Male,
846-84-6846,24.0,Some-college,,,,<=50K
881-88-1881,41.0,Assoc-voc,Divorced,Unmarried,Female,<=50K
584-58-4584,,Doctorate,,Wife,,
952-95-2952,53.0,,Divorced,Not-in-family,Male,
033-03-3033,19.0,11th,,Own-child,Female,
014-01-4014,34.0,Assoc-voc,Married-spouse-absent,Unmarried,,<=50K
650-65-0650,37.0,,,,Male,<=50K
322-32-2322,26.0,HS-grad,Never-married,Unmarried,,
204-20-4204,48.0,HS-grad,Separated,,Female,
126-12-6126,34.0,Bachelors,Divorced,Not-in-family,Male,>50K
849-84-9849,36.0,HS-grad,Married-civ-spouse,,Male,<=50K
235-23-5235,25.0,Bachelors,Married-civ-spouse,Husband,,<=50K
067-06-7067,32.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
345-34-5345,41.0,Some-college,Married-civ-spouse,Husband,,<=50K
666-66-6666,41.0,Prof-school,Married-civ-spouse,,Male,>50K
346-34-6346,,,Married-civ-spouse,Wife,,
077-07-7077,41.0,HS-grad,Divorced,,Male,<=50K
279-27-9279,21.0,,Never-married,,,
166-16-6166,27.0,,Never-married,Not-in-family,Female,
966-96-6966,49.0,9th,Married-civ-spouse,Husband,,<=50K
687-68-7687,42.0,,Never-married,,,<=50K
889-88-9889,46.0,HS-grad,Divorced,Unmarried,,
483-48-3483,24.0,Some-college,Never-married,Own-child,,
503-50-3503,39.0,,,Husband,,<=50K
417-41-7417,37.0,HS-grad,Married-civ-spouse,,Male,
690-69-0690,18.0,11th,Never-married,,Male,<=50K
151-15-1151,67.0,Bachelors,Married-civ-spouse,Husband,,>50K
943-94-3943,44.0,HS-grad,Never-married,Own-child,Female,
315-31-5315,42.0,HS-grad,Married-civ-spouse,Husband,,<=50K
608-60-8608,38.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
415-41-5415,24.0,,Never-married,Unmarried,Male,<=50K
597-59-7597,,9th,Divorced,Not-in-family,,<=50K
480-48-0480,19.0,,,Own-child,,>50K
154-15-4154,64.0,HS-grad,Divorced,Not-in-family,,<=50K
534-53-4534,19.0,11th,Never-married,,Male,<=50K
877-87-7877,62.0,HS-grad,Married-civ-spouse,Other-relative,,<=50K
964-96-4964,52.0,Some-college,Separated,Not-in-family,Male,<=50K
983-98-3983,86.0,5th-6th,,Husband,Male,
094-09-4094,31.0,Masters,Married-civ-spouse,Husband,Male,
451-45-1451,31.0,,Never-married,,,<=50K
864-86-4864,21.0,,Never-married,Not-in-family,,<=50K
669-66-9669,,,Never-married,Own-child,Male,<=50K
954-95-4954,63.0,10th,Married-civ-spouse,Husband,,<=50K
497-49-7497,22.0,,,,Male,
558-55-8558,41.0,,Married-civ-spouse,Husband,,<=50K
823-82-3823,35.0,HS-grad,,Husband,Male,
638-63-8638,29.0,10th,Never-married,Own-child,,
681-68-1681,49.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
113-11-3113,61.0,9th,,Husband,Male,<=50K
056-05-6056,,Some-college,Married-civ-spouse,Husband,,
790-79-0790,18.0,Some-college,,Not-in-family,Male,
972-97-2972,24.0,Bachelors,Never-married,,Male,
809-80-9809,,Bachelors,,Not-in-family,,<=50K
682-68-2682,26.0,Bachelors,Never-married,Not-in-family,Female,<=50K
635-63-5635,31.0,HS-grad,Never-married,,,<=50K
249-24-9249,21.0,,Never-married,,Male,<=50K
514-51-4514,50.0,,,Husband,,
104-10-4104,74.0,11th,Never-married,Not-in-family,Male,
968-96-8968,39.0,,Married-civ-spouse,Wife,,
955-95-5955,23.0,HS-grad,Never-married,Own-child,Female,<=50K
854-85-4854,35.0,Some-college,Divorced,Own-child,,
686-68-6686,19.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
292-29-2292,,Bachelors,Never-married,Unmarried,Female,<=50K
500-50-0500,34.0,Bachelors,Married-civ-spouse,Husband,Male,
572-57-2572,32.0,Bachelors,Never-married,Unmarried,Male,<=50K
532-53-2532,59.0,Bachelors,Married-civ-spouse,Husband,Male,
418-41-8418,59.0,5th-6th,Married-civ-spouse,Husband,,
004-00-4004,34.0,,Married-civ-spouse,,Male,>50K
536-53-6536,,HS-grad,Never-married,,,<=50K
587-58-7587,37.0,,Never-married,,,<=50K
173-17-3173,26.0,,Never-married,Not-in-family,Male,
861-86-1861,35.0,,Never-married,Own-child,Female,<=50K
366-36-6366,17.0,HS-grad,Never-married,Own-child,,<=50K
527-52-7527,57.0,HS-grad,Married-civ-spouse,,Male,
264-26-4264,35.0,Prof-school,,Own-child,,<=50K
900-90-0900,58.0,,Married-civ-spouse,Husband,Male,
198-19-8198,36.0,Assoc-voc,Married-civ-spouse,,Male,
557-55-7557,18.0,,,,,
748-74-8748,45.0,Bachelors,,Unmarried,,<=50K
135-13-5135,31.0,Bachelors,Never-married,Not-in-family,Male,<=50K
133-13-3133,43.0,Masters,Divorced,Not-in-family,Male,>50K
495-49-5495,30.0,,,Own-child,Male,
956-95-6956,,Bachelors,Never-married,Not-in-family,,<=50K
256-25-6256,47.0,11th,,,Male,
935-93-5935,43.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
830-83-0830,65.0,HS-grad,,,Male,
377-37-7377,,,Married-civ-spouse,Husband,Male,
336-33-6336,27.0,1st-4th,Never-married,Own-child,,<=50K
082-08-2082,29.0,Some-college,Married-civ-spouse,Wife,,
826-82-6826,32.0,HS-grad,,,Female,>50K
476-47-6476,19.0,HS-grad,,Own-child,Female,>50K
402-40-2402,39.0,Some-college,Never-married,Not-in-family,Male,
048-04-8048,39.0,HS-grad,Married-civ-spouse,Husband,,>50K
071-07-1071,35.0,,Divorced,Other-relative,Male,<=50K
443-44-3443,18.0,HS-grad,Never-married,,,<=50K
859-85-9859,48.0,Some-college,Married-civ-spouse,Husband,,<=50K
463-46-3463,23.0,,Never-married,Own-child,Male,<=50K
698-69-8698,68.0,Some-college,,Not-in-family,,
799-79-9799,42.0,,,Husband,Male,<=50K
917-91-7917,25.0,Bachelors,,Own-child,,
549-54-9549,49.0,,Divorced,Unmarried,,<=50K
817-81-7817,31.0,HS-grad,Married-civ-spouse,,Male,
046-04-6046,28.0,Bachelors,Never-married,Other-relative,Female,
069-06-9069,30.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
409-40-9409,38.0,,Never-married,,,<=50K
879-87-9879,44.0,,Divorced,Not-in-family,,<=50K
426-42-6426,40.0,HS-grad,Married-civ-spouse,Husband,,>50K
533-53-3533,56.0,10th,Divorced,Unmarried,Female,<=50K
125-12-5125,66.0,,,,Male,<=50K
246-24-6246,54.0,Some-college,Married-civ-spouse,Husband,Male,
646-64-6646,33.0,Masters,Married-civ-spouse,Husband,Male,<=50K
525-52-5525,22.0,Some-college,,,Female,
485-48-5485,,7th-8th,Never-married,,,
539-53-9539,30.0,HS-grad,Divorced,Unmarried,Female,
358-35-8358,44.0,,Married-civ-spouse,,Male,>50K
150-15-0150,,Some-college,Never-married,,Male,<=50K
909-90-9909,33.0,HS-grad,Never-married,,Female,
958-95-8958,29.0,Assoc-voc,Married-civ-spouse,,,>50K
922-92-2922,46.0,Assoc-acdm,,Not-in-family,,<=50K
296-29-6296,18.0,,Never-married,Own-child,Female,<=50K
727-72-7727,30.0,Some-college,Never-married,Not-in-family,,<=50K
017-01-7017,17.0,,Never-married,,Male,<=50K
499-49-9499,45.0,HS-grad,Never-married,Not-in-family,Male,
858-85-8858,,Bachelors,Married-civ-spouse,Husband,Male,
092-09-2092,51.0,10th,Married-civ-spouse,Husband,Male,
665-66-5665,35.0,HS-grad,Married-civ-spouse,Husband,Male,
633-63-3633,58.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
903-90-3903,43.0,Bachelors,,Husband,,
740-74-0740,46.0,Some-college,Separated,Not-in-family,Male,>50K
555-55-5555,,HS-grad,Never-married,Other-relative,,<=50K
737-73-7737,40.0,9th,Married-civ-spouse,,Male,
352-35-2352,47.0,Masters,Married-civ-spouse,Wife,,
554-55-4554,37.0,,Divorced,Not-in-family,,
827-82-7827,31.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
765-76-5765,,,Married-civ-spouse,Husband,Male,
551-55-1551,30.0,,Never-married,,Female,<=50K
124-12-4124,74.0,10th,Married-civ-spouse,,,>50K
685-68-5685,27.0,Some-college,Married-civ-spouse,Husband,Male,
072-07-2072,51.0,HS-grad,Divorced,Unmarried,,<=50K
342-34-2342,40.0,Masters,Divorced,Unmarried,Female,
894-89-4894,23.0,,Never-married,,Male,<=50K
701-70-1701,43.0,Bachelors,Married-civ-spouse,Wife,,<=50K
947-94-7947,,Some-college,Never-married,Own-child,,
910-91-0910,29.0,Some-college,,,,>50K
197-19-7197,40.0,,,Wife,,<=50K
841-84-1841,40.0,,Married-civ-spouse,,Male,
431-43-1431,19.0,Some-college,Never-married,Own-child,Female,<=50K
754-75-4754,,Assoc-voc,Married-civ-spouse,Husband,,
624-62-4624,59.0,Some-college,Divorced,,Female,
673-67-3673,46.0,HS-grad,Separated,Not-in-family,Male,<=50K
550-55-0550,37.0,Some-college,Married-civ-spouse,Husband,,<=50K
751-75-1751,55.0,Masters,Married-civ-spouse,Husband,,>50K
470-47-0470,22.0,,Never-married,Not-in-family,Male,
331-33-1331,82.0,,,,Male,<=50K
520-52-0520,22.0,Bachelors,Never-married,Own-child,Female,<=50K
699-69-9699,41.0,HS-grad,,,Female,<=50K
311-31-1311,17.0,11th,Married-civ-spouse,Husband,Male,
161-16-1161,33.0,Some-college,,Own-child,,<=50K
820-82-0820,43.0,,Married-civ-spouse,Wife,,<=50K
801-80-1801,43.0,,,Husband,,
195-19-5195,44.0,,Never-married,Own-child,,
321-32-1321,37.0,Some-college,Married-civ-spouse,Husband,,>50K
162-16-2162,19.0,,,Not-in-family,Male,>50K
467-46-7467,23.0,10th,Never-married,Other-relative,,<=50K
636-63-6636,53.0,Assoc-voc,Married-civ-spouse,,,
061-06-1061,44.0,HS-grad,Married-civ-spouse,,Male,
807-80-7807,29.0,Masters,Never-married,Not-in-family,,
963-96-3963,48.0,HS-grad,Divorced,,,<=50K
374-37-4374,31.0,,Married-civ-spouse,,,<=50K
129-12-9129,53.0,11th,Married-civ-spouse,,Male,
571-57-1571,56.0,,Married-civ-spouse,Husband,,>50K
211-21-1211,43.0,Some-college,Married-civ-spouse,Husband,Male,
579-57-9579,32.0,HS-grad,Married-civ-spouse,Husband,Male,
899-89-9899,23.0,,Never-married,Not-in-family,,<=50K
453-45-3453,32.0,Some-college,,Not-in-family,,
573-57-3573,42.0,Some-college,Married-civ-spouse,Husband,Male,>50K
989-98-9989,21.0,HS-grad,Never-married,Other-relative,Male,
543-54-3543,40.0,HS-grad,Married-civ-spouse,Husband,,>50K
588-58-8588,23.0,Some-college,Never-married,Own-child,Male,<=50K
269-26-9269,47.0,Bachelors,Married-civ-spouse,Husband,,
340-34-0340,18.0,HS-grad,Never-married,Own-child,Male,<=50K
620-62-0620,52.0,Assoc-acdm,Married-civ-spouse,Husband,Male,
219-21-9219,61.0,11th,Married-civ-spouse,Husband,,>50K
170-17-0170,31.0,Bachelors,Never-married,Unmarried,,<=50K
578-57-8578,44.0,,Married-civ-spouse,Husband,,<=50K
213-21-3213,28.0,Assoc-voc,,Other-relative,,<=50K
486-48-6486,58.0,Assoc-acdm,Widowed,Unmarried,Female,<=50K
155-15-5155,30.0,,Separated,Not-in-family,Female,
076-07-6076,53.0,Assoc-voc,,Husband,,<=50K
273-27-3273,33.0,,Divorced,,Female,<=50K
816-81-6816,28.0,,Never-married,Not-in-family,,<=50K
349-34-9349,21.0,,Never-married,Not-in-family,Male,<=50K
528-52-8528,46.0,,,,,<=50K
375-37-5375,66.0,Assoc-acdm,Married-civ-spouse,,,<=50K
813-81-3813,28.0,HS-grad,Married-civ-spouse,,Male,<=50K
015-01-5015,44.0,,Divorced,Unmarried,,<=50K
208-20-8208,44.0,5th-6th,Divorced,Not-in-family,Male,<=50K
925-92-5925,20.0,,,,Female,<=50K
704-70-4704,27.0,Assoc-voc,Never-married,Not-in-family,,<=50K
706-70-6706,,,,Not-in-family,Male,>50K
884-88-4884,54.0,Bachelors,Married-civ-spouse,,,<=50K
779-77-9779,30.0,,Never-married,Not-in-family,Female,<=50K
172-17-2172,34.0,HS-grad,Divorced,,,<=50K
369-36-9369,,Some-college,Never-married,Not-in-family,Male,
717-71-7717,33.0,,,Own-child,,>50K
593-59-3593,46.0,Prof-school,,Not-in-family,Male,<=50K
110-11-0110,40.0,Masters,Married-civ-spouse,Husband,,
670-67-0670,21.0,HS-grad,,,,<=50K
746-74-6746,32.0,Bachelors,Married-civ-spouse,Husband,Male,
513-51-3513,45.0,Masters,,Husband,,<=50K
975-97-5975,52.0,HS-grad,,Unmarried,,
616-61-6616,20.0,Some-college,,,Male,<=50K
762-76-2762,35.0,9th,Never-married,Unmarried,,
488-48-8488,31.0,HS-grad,,Husband,Male,<=50K
390-39-0390,57.0,,Married-civ-spouse,Husband,,<=50K
689-68-9689,56.0,HS-grad,,Husband,,
134-13-4134,34.0,Some-college,Never-married,Own-child,Male,<=50K
832-83-2832,67.0,Masters,Divorced,Not-in-family,,
054-05-4054,52.0,Bachelors,Married-civ-spouse,,,
511-51-1511,57.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
738-73-8738,38.0,,,Unmarried,,
019-01-9019,26.0,HS-grad,Never-married,Unmarried,Female,
457-45-7457,34.0,HS-grad,Never-married,Unmarried,Female,
045-04-5045,,Some-college,Never-married,,,
589-58-9589,69.0,Some-college,Married-civ-spouse,,Male,<=50K
250-25-0250,41.0,,Married-civ-spouse,Husband,Male,>50K
484-48-4484,,5th-6th,,,Female,
882-88-2882,28.0,Some-college,Married-civ-spouse,,,<=50K
316-31-6316,29.0,HS-grad,Never-married,Unmarried,,<=50K
487-48-7487,36.0,11th,Married-civ-spouse,,Female,>50K
410-41-0410,31.0,Bachelors,Divorced,Own-child,Female,<=50K
580-58-0580,27.0,HS-grad,,Not-in-family,Male,
429-42-9429,18.0,,,Own-child,Male,<=50K
697-69-7697,41.0,,,Husband,Male,<=50K
131-13-1131,35.0,HS-grad,,Not-in-family,Female,
196-19-6196,61.0,HS-grad,Widowed,Unmarried,,
265-26-5265,46.0,Doctorate,Married-civ-spouse,Husband,Male,<=50K
724-72-4724,36.0,Bachelors,Divorced,Not-in-family,Male,
969-96-9969,51.0,,Married-civ-spouse,Husband,Male,
757-75-7757,34.0,HS-grad,Married-civ-spouse,Husband,Male,
118-11-8118,25.0,HS-grad,Married-civ-spouse,Husband,,<=50K
288-28-8288,73.0,,Divorced,,Female,
018-01-8018,32.0,Assoc-voc,Never-married,,,<=50K
290-29-0290,35.0,Bachelors,Divorced,,Female,
721-72-1721,61.0,,Widowed,Unmarried,Female,
466-46-6466,37.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
354-35-4354,50.0,,Divorced,Unmarried,Female,
628-62-8628,44.0,Doctorate,Divorced,Not-in-family,,
064-06-4064,29.0,,Never-married,,,<=50K
824-82-4824,51.0,,Married-civ-spouse,,,
674-67-4674,47.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
930-93-0930,20.0,Some-college,Never-married,Own-child,Male,<=50K
871-87-1871,,HS-grad,,Husband,Male,
295-29-5295,,,Never-married,Own-child,Male,
492-49-2492,22.0,HS-grad,Married-civ-spouse,,Male,
471-47-1471,57.0,,Married-civ-spouse,,,<=50K
382-38-2382,39.0,Some-college,Divorced,Not-in-family,,<=50K
191-19-1191,66.0,HS-grad,Married-civ-spouse,,Male,>50K
844-84-4844,44.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
085-08-5085,45.0,HS-grad,Married-civ-spouse,,Male,>50K
301-30-1301,26.0,Bachelors,Never-married,Not-in-family,,<=50K
119-11-9119,33.0,HS-grad,Never-married,,Female,
032-03-2032,53.0,Doctorate,Married-civ-spouse,Husband,Male,>50K
175-17-5175,64.0,Bachelors,Married-civ-spouse,Husband,,
063-06-3063,42.0,,Married-civ-spouse,Wife,Female,<=50K
023-02-3023,,Some-college,,Not-in-family,,
865-86-5865,41.0,Bachelors,Divorced,Not-in-family,Male,<=50K
089-08-9089,29.0,,Never-married,Not-in-family,,<=50K
206-20-6206,,Masters,Widowed,Unmarried,Female,<=50K
912-91-2912,50.0,9th,Widowed,Unmarried,Female,
034-03-4034,45.0,HS-grad,Married-civ-spouse,Husband,,>50K
843-84-3843,28.0,10th,Married-civ-spouse,Husband,Male,>50K
116-11-6116,21.0,,Never-married,Unmarried,Male,
490-49-0490,67.0,Bachelors,Married-civ-spouse,Husband,,<=50K
995-99-5995,46.0,,Married-civ-spouse,Husband,Male,<=50K
784-78-4784,54.0,Masters,Married-civ-spouse,Husband,Male,<=50K
391-39-1391,55.0,,Married-civ-spouse,Husband,Male,<=50K
880-88-0880,33.0,,Divorced,Not-in-family,,
750-75-0750,37.0,,,Husband,,<=50K
287-28-7287,44.0,HS-grad,Divorced,Unmarried,Female,
337-33-7337,26.0,HS-grad,Never-married,,Male,
144-14-4144,,,Married-civ-spouse,Husband,Male,>50K
883-88-3883,23.0,Some-college,Never-married,Other-relative,Male,
062-06-2062,40.0,Some-college,,Not-in-family,Female,
132-13-2132,48.0,,Never-married,Not-in-family,,
630-63-0630,,Bachelors,Divorced,Not-in-family,Female,<=50K
275-27-5275,39.0,,Married-civ-spouse,Husband,,
661-66-1661,47.0,Assoc-voc,Never-married,Not-in-family,Male,<=50K
293-29-3293,38.0,HS-grad,Never-married,Unmarried,Female,<=50K
908-90-8908,48.0,Doctorate,Never-married,Own-child,,<=50K
598-59-8598,55.0,Masters,Married-civ-spouse,Husband,,
759-75-9759,39.0,Bachelors,Married-civ-spouse,Husband,Male,
073-07-3073,42.0,,Married-civ-spouse,Husband,,<=50K
407-40-7407,23.0,10th,,,Female,<=50K
988-98-8988,35.0,,Married-civ-spouse,Husband,,
454-45-4454,37.0,Assoc-acdm,,Husband,,
862-86-2862,30.0,HS-grad,Never-married,Unmarried,Female,
798-79-8798,39.0,Masters,Married-civ-spouse,Husband,,<=50K
778-77-8778,18.0,Some-college,,Not-in-family,Female,<=50K
743-74-3743,,Bachelors,Married-civ-spouse,Husband,,
147-14-7147,21.0,HS-grad,Never-married,,Female,<=50K
691-69-1691,39.0,Assoc-voc,Married-civ-spouse,,Male,<=50K
079-07-9079,31.0,HS-grad,,Own-child,Male,
335-33-5335,40.0,Some-college,Never-married,Not-in-family,Female,<=50K
938-93-8938,,Bachelors,Never-married,,,
904-90-4904,36.0,Masters,Married-civ-spouse,Husband,,<=50K
825-82-5825,51.0,,Separated,Unmarried,Female,<=50K
326-32-6326,37.0,,Never-married,Own-child,Female,
758-75-8758,37.0,,Married-civ-spouse,,,
971-97-1971,32.0,,Married-civ-spouse,Husband,Male,
378-37-8378,64.0,Bachelors,,,,>50K
944-94-4944,39.0,Bachelors,,Husband,Male,>50K
818-81-8818,47.0,HS-grad,Married-civ-spouse,Husband,,<=50K
029-02-9029,26.0,Some-college,Never-married,Not-in-family,,<=50K
007-00-7007,34.0,,,,Male,
121-12-1121,38.0,Bachelors,Married-civ-spouse,Husband,,
108-10-8108,48.0,Some-college,,Husband,Male,>50K
932-93-2932,24.0,,Never-married,,Male,
730-73-0730,44.0,Masters,,Not-in-family,Female,
985-98-5985,30.0,Some-college,,Not-in-family,,<=50K
753-75-3753,66.0,,,Husband,Male,
272-27-2272,23.0,HS-grad,Married-civ-spouse,,Male,>50K
363-36-3363,18.0,,Never-married,,,<=50K
610-61-0610,45.0,Some-college,Married-civ-spouse,Husband,Male,
040-04-0040,47.0,,Divorced,Not-in-family,,
101-10-1101,33.0,,Married-civ-spouse,,Male,>50K
755-75-5755,64.0,HS-grad,Married-civ-spouse,Husband,Male,
752-75-2752,24.0,Some-college,,Not-in-family,,
253-25-3253,35.0,Bachelors,Divorced,Unmarried,,
090-09-0090,32.0,Some-college,,Not-in-family,Male,
839-83-9839,32.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
648-64-8648,,Bachelors,Married-civ-spouse,,,>50K
603-60-3603,40.0,HS-grad,Divorced,Unmarried,Female,
793-79-3793,42.0,HS-grad,Married-civ-spouse,Husband,,
284-28-4284,49.0,Masters,Married-civ-spouse,Husband,Male,>50K
002-00-2002,56.0,,,,,
997-99-7997,56.0,Some-college,Divorced,Not-in-family,,<=50K
777-77-7777,35.0,HS-grad,,,Male,>50K
037-03-7037,35.0,,,Other-relative,Male,<=50K
323-32-3323,43.0,,Married-civ-spouse,Husband,,<=50K
575-57-5575,71.0,7th-8th,Married-civ-spouse,,Female,<=50K
629-62-9629,,Some-college,Married-civ-spouse,Wife,,>50K
639-63-9639,28.0,HS-grad,Never-married,Not-in-family,Female,<=50K
845-84-5845,,,Divorced,Own-child,,<=50K
641-64-1641,29.0,Some-college,Divorced,Unmarried,,
477-47-7477,32.0,,Married-civ-spouse,,Male,
720-72-0720,32.0,HS-grad,Divorced,,,>50K
148-14-8148,,HS-grad,Married-civ-spouse,Husband,,
672-67-2672,31.0,Masters,Married-civ-spouse,Wife,Female,<=50K
364-36-4364,51.0,HS-grad,Married-civ-spouse,Husband,Male,
542-54-2542,54.0,,Married-civ-spouse,Husband,Male,<=50K
080-08-0080,61.0,5th-6th,Divorced,Own-child,,<=50K
568-56-8568,,Bachelors,Married-civ-spouse,,Male,>50K
933-93-3933,19.0,HS-grad,Never-married,Own-child,Male,<=50K
464-46-4464,31.0,HS-grad,,,Male,
333-33-3333,30.0,Some-college,,Own-child,,<=50K
794-79-4794,42.0,,Married-civ-spouse,,Female,
623-62-3623,37.0,,Married-civ-spouse,,,
647-64-7647,23.0,HS-grad,Never-married,Not-in-family,,<=50K
005-00-5005,30.0,Bachelors,Never-married,Own-child,,
420-42-0420,42.0,,,Not-in-family,Female,<=50K
668-66-8668,,HS-grad,Divorced,,,>50K
123-12-3123,34.0,Some-college,,Husband,,>50K
012-01-2012,,HS-grad,Married-civ-spouse,Husband,,>50K
652-65-2652,32.0,,Married-civ-spouse,,,
095-09-5095,23.0,Some-college,Never-married,,Female,<=50K
355-35-5355,42.0,,Married-civ-spouse,Husband,,
965-96-5965,,,Never-married,Own-child,,
398-39-8398,21.0,,Never-married,Own-child,,
270-27-0270,41.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
475-47-5475,23.0,Bachelors,Never-married,Other-relative,,<=50K
452-45-2452,27.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
510-51-0510,22.0,10th,Never-married,Own-child,Female,<=50K
359-35-9359,27.0,,Married-civ-spouse,Wife,Female,<=50K
036-03-6036,33.0,Some-college,Married-civ-spouse,Husband,,<=50K
595-59-5595,19.0,Some-college,,Not-in-family,,<=50K
756-75-6756,27.0,HS-grad,,Other-relative,,
607-60-7607,31.0,HS-grad,Divorced,Not-in-family,,
950-95-0950,,,Married-civ-spouse,,Male,
521-52-1521,30.0,HS-grad,Married-civ-spouse,Wife,Female,<=50K
043-04-3043,35.0,12th,,Husband,,<=50K
016-01-6016,47.0,HS-grad,,Husband,,<=50K
769-76-9769,44.0,,,Own-child,Male,
999-99-9999,40.0,,,Husband,Male,<=50K
262-26-2262,,Some-college,Married-civ-spouse,,,>50K
248-24-8248,21.0,,,,Female,>50K
263-26-3263,35.0,HS-grad,Married-civ-spouse,Husband,Male,
242-24-2242,42.0,,Divorced,Not-in-family,Male,<=50K
634-63-4634,40.0,,,Not-in-family,Female,<=50K
970-97-0970,37.0,Bachelors,Married-civ-spouse,,,<=50K
438-43-8438,20.0,Some-college,Never-married,Own-child,Male,
953-95-3953,46.0,HS-grad,Divorced,Unmarried,Female,
907-90-7907,41.0,Bachelors,Never-married,,Female,
860-86-0860,39.0,HS-grad,,Husband,,<=50K
